wiek,godziny_nauki,frekwencja,testy_próbne,target
18,3.0,0.75,2,0
19,5.5,0.90,3,1
20,2.0,0.60,1,0
21,6.0,0.95,4,1
22,1.0,0.40,0,0
23,4.0,0.80,2,1
24,7.5,0.98,5,1
25,2.5,0.50,1,0
26,5.0,0.85,3,1
27,3.5,0.70,2,0
28,6.5,0.92,4,1
29,1.5,0.45,1,0
18,4.0,0.80,3,1
19,2.5,0.65,1,0
20,5.0,0.88,4,1
21,1.8,0.55,1,0
22,6.2,0.93,5,1
23,3.3,0.72,2,0
24,7.0,0.96,4,1
25,2.2,0.58,1,0
26,4.8,0.83,3,1
27,1.2,0.42,0,0
28,5.8,0.90,4,1
29,3.8,0.78,2,0
18,0.5,0.30,0,0
19,4.5,0.82,3,1
20,1.0,0.35,0,0
21,6.8,0.97,5,1
22,2.0,0.60,1,0
23,5.2,0.87,4,1
24,0.8,0.38,0,0
25,3.0,0.70,2,0
26,7.2,0.99,5,1
27,1.5,0.48,1,0
28,4.2,0.76,3,1
29,2.8,0.68,2,0
18,3.5,0.78,2,1
19,6.0,0.91,4,1
20,1.7,0.52,1,0
21,4.0,0.80,3,1
22,0.9,0.39,0,0
23,7.0,0.95,5,1
24,2.0,0.55,1,0
25,5.0,0.85,4,1
26,1.0,0.40,0,0
27,6.5,0.93,4,1
28,2.5,0.62,1,0
29,4.8,0.84,3,1
